,Unnamed: 0,Departamento,Municipio,Cultivo,pH agua:suelo 2.5:1.0,Materia orgánica (MO) %,capacidad de intercambio cationico (CICE) suma de bases cmol(+)/kg,Conductividad electrica (CE) relacion 2.5:1.0 dS/m
20218,20218,CUNDINAMARCA,VILLETA,Caña panelera/azucar,8.15,2.31691870810012,39.99877275,0.5738424
20219,20219,CUNDINAMARCA,VILLETA,Caña panelera/azucar,7.82,4.93079230912249,39.844549614,0.5606324
20220,20220,CUNDINAMARCA,VILLETA,Caña panelera/azucar,7.38,5.84081536807777,25.395959692,0.636722
20221,20221,CUNDINAMARCA,VILLETA,Caña panelera/azucar,4.82,4.73441891219004,10.2481945519074,0.385731999999999
20222,20222,CUNDINAMARCA,VILLETA,Caña panelera/azucar,6.29,4.22432703967037,24.28632857,0.3149264
20223,20223,CUNDINAMARCA,GUADUAS,Caña panelera/azucar,5.27,2.56712715336235,15.0874527590604,0.2890348
20224,20224,CUNDINAMARCA,GUADUAS,Caña panelera/azucar,5.86,1.65949889193064,11.472136642,0.1912808
20225,20225,CUNDINAMARCA,GUADUAS,Caña panelera/azucar,5.69,3.27598722033804,12.194984316,0.2367232
20226,20226,CUNDINAMARCA,GUADUAS,Caña panelera/azucar,5.22,2.72757858744131,9.16714116398576,0.2346096
20227,20227,CUNDINAMARCA,GUADUAS,Caña panelera/azucar,5.17,2.32525260348213,6.75173153412099,0.126815999999999
20228,20228,CUNDINAMARCA,GUADUAS,Caña panelera/azucar,6.16,2.64855026916361,22.63841717,0.391016
20229,20229,CUNDINAMARCA,GUADUAS,Caña panelera/azucar,5.3,2.33004219852927,16.6991851359644,0.1817696
20230,20230,CUNDINAMARCA,CAPARRAPÍ,Caña panelera/azucar,5.43,2.64855026916361,13.8258240613736,0.1886388
20231,20231,CUNDINAMARCA,CAPARRAPÍ,Caña panelera/azucar,6.1,1.84073716851416,10.165187028,0.202905599999999
20232,20232,CUNDINAMARCA,FACATATIVÁ,Ajo,6.06,13.3338494436145,26.145262944,0.421663199999999
20233,20233,CUNDINAMARCA,SAN JUAN DE RIOSECO,Aguacate,4.95,4.98024140588126,4.35381166391289,0.2678988
20234,20234,CUNDINAMARCA,BORRAR,Papa de año,5.36,14.2342933124755,7.18227275797153,0.3973568
20235,20235,ANTIOQUIA,RETIRO,Aguacate,5.3,19.2791149788592,3.65104631204156,0.188110399999999
20236,20236,ANTIOQUIA,RETIRO,Aguacate,4.88,5.94590417924909,3.07059189207603,0.2383084
20237,20237,ANTIOQUIA,RETIRO,Aguacate,4.99,10.0808901320581,3.28552831905525,0.2499332
20238,20238,ANTIOQUIA,RETIRO,Aguacate,5.12,16.0894836071351,3.77979122203244,0.401584
20239,20239,ANTIOQUIA,RETIRO,Aguacate,4.84,11.9013872829006,2.91263714406995,0.1992068
20240,20240,ANTIOQUIA,RETIRO,Aguacate,5.36,17.1978303573726,6.14163911702788,0.232495999999999
20241,20241,ANTIOQUIA,RETIRO,Aguacate,5.41,12.0121718064877,3.46808505800405,0.107265199999999
20242,20242,ANTIOQUIA,RETIRO,Aguacate,4.94,2.91096388029843,1.85746827304359,0.1357988
20243,20243,ANTIOQUIA,RETIRO,Aguacate,4.5,11.8918083584981,2.08559996006894,0.1421396
20244,20244,ANTIOQUIA,RETIRO,Aguacate,5.38,8.8777070150922,1.47532616900456,0.161690399999999
20245,20245,ANTIOQUIA,RETIRO,Aguacate,5.4,6.96648591532749,1.41759268400811,0.106736799999999
20246,20246,ANTIOQUIA,RETIRO,Aguacate,5.51,11.0934351004114,1.391347706,0.1564064
20247,20247,CUNDINAMARCA,VIANÍ,Café,5.31,4.1203918847403,11.4733284550167,0.156934799999999
20248,20248,CUNDINAMARCA,LA PALMA,Aguacate,6.99,6.89672526693019,46.434636786,0.3852036
20249,20249,SANTANDER,COROMORO,Citricos,4.75,6.9852529366708,6.77334256776956,0.126815999999999
20250,20250,BOYACÁ,MONIQUIRÁ,Caña panelera/azucar,5.48,3.18120534819171,8.47953705,0.338176
20251,20251,CUNDINAMARCA,NIMAIMA,Caña panelera/azucar,5.34,3.4771840987415,9.90855037972842,0.2678988
20252,20252,CUNDINAMARCA,SAN JUAN DE RIOSECO,Aguacate,5.78,3.1039935002222,10.712356616,0.209774799999999
20253,20253,BOLÍVAR,MAGANGUÉ,Sorgo,7.28,0.83,24.83,0.26
20254,20254,CUNDINAMARCA,SAN JUAN DE RIOSECO,Aguacate,5.23,1.60608364961374,7.59182775117022,0.324966
20255,20255,CUNDINAMARCA,SAN JUAN DE RIOSECO,Aguacate,5.65,2.94956980428319,9.52478986,0.1801844
20256,20256,CUNDINAMARCA,SAN JUAN DE RIOSECO,Aguacate,4.78,2.4246064499385,10.2712489687378,0.140025999999999
20257,20257,CUNDINAMARCA,VIANÍ,Aguacate,5.47,2.1877462376507,11.599752978,0.143724799999999
20258,20258,CUNDINAMARCA,GUAYABAL DE SÍQUIMA,Aromaticas,7.39,7.72898319359576,45.616626914,0.1051516
20259,20259,CUNDINAMARCA,QUEBRADANEGRA,Caña panelera/azucar,7.95,2.91096388029843,24.585131884,0.089828
20260,20260,CUNDINAMARCA,QUEBRADANEGRA,Caña panelera/azucar,7.2,6.47565474007204,49.45924023,0.443856
20261,20261,CUNDINAMARCA,QUEBRADANEGRA,Caña panelera/azucar,8.07,13.0643991001367,37.850013942,0.07645948
20262,20262,CUNDINAMARCA,QUEBRADANEGRA,Caña panelera/azucar,8.07,4.22613902404573,42.280127188,0.5896944
20263,20263,CUNDINAMARCA,QUEBRADANEGRA,Caña panelera/azucar,7.59,9.08541520144143,43.442153866,0.6002624
20264,20264,CUNDINAMARCA,QUEBRADANEGRA,Caña panelera/azucar,7.24,7.45367148101915,25.412612624,1.4774064
20265,20265,CUNDINAMARCA,QUEBRADANEGRA,Caña panelera/azucar,6.11,7.20144611098542,18.548910644,0.618228
20266,20266,CUNDINAMARCA,QUEBRADANEGRA,Caña panelera/azucar,5.15,7.10879189342201,12.3040973167426,0.2462344
20267,20267,CUNDINAMARCA,QUEBRADANEGRA,Caña panelera/azucar,7.84,5.10128384621479,31.943524444,0.3994704
20268,20268,CUNDINAMARCA,QUEBRADANEGRA,Caña panelera/azucar,6.49,6.89259871910739,31.146767124,0.5347408
20269,20269,CUNDINAMARCA,QUEBRADANEGRA,Caña panelera/azucar,6.12,3.18635280472301,16.40905729,0.5770128
20270,20270,CUNDINAMARCA,QUEBRADANEGRA,Caña panelera/azucar,6.26,2.57903014587752,12.980022884,0.146895199999999
20271,20271,CUNDINAMARCA,LA PEÑA,Caña panelera/azucar,5.16,3.4941754238504,9.9121092667208,0.169616399999999
20272,20272,BOYACÁ,TÚQUERRES,Papa de año,5.32,10.8875915490889,6.27787585234649,0.315983199999999
20273,20273,TOLIMA,ESPINAL,Tabaco,5.85,2.45495548630727,9.475106174,0.206075999999999
20274,20274,CUNDINAMARCA,VILLAPINZÓN,Papa de año,5.81,9.20836463079567,15.048030626,0.3582552
20275,20275,BOYACÁ,VENTAQUEMADA,Papa de año,4.61,8.06518441999322,10.2513588317033,1.4219244
20276,20276,BOYACÁ,AQUITANIA,Cebolla de rama,5.94,7.56194623075965,14.409667054,0.291676799999999
20277,20277,CUNDINAMARCA,BOGOTÁ.  D.C.,Pastos-Estrella,5.19,9.84825828625831,10.6958667594897,0.517832
20278,20278,CUNDINAMARCA,CHAGUANÍ,Caucho,6.47,3.94727551064482,20.991703856,0.2678988
20279,20279,CUNDINAMARCA,CHAGUANÍ,Caucho,5.96,2.17422664560055,18.182615404,0.1727868
20280,20280,CUNDINAMARCA,CHAGUANÍ,Caucho,4.47,1.86409594325789,3.96735308045714,0.1992068
20281,20281,CUNDINAMARCA,CHAGUANÍ,Caucho,5.1,2.44099917023767,11.4111901982555,0.295375599999999
20282,20282,CUNDINAMARCA,CHAGUANÍ,Caucho,4.56,1.76474406719938,4.69563962728191,0.1500656
20283,20283,CUNDINAMARCA,CHAGUANÍ,Caucho,5.86,2.44448073170639,20.7018080599999,0.1992068
20284,20284,CUNDINAMARCA,CHAGUANÍ,Caucho,5.08,3.25439121588597,14.1458105935954,0.169088
20285,20285,CUNDINAMARCA,CHAGUANÍ,Caucho,4.9,1.99401762733441,14.0028548948655,0.190223999999999
20286,20286,CUNDINAMARCA,CHAGUANÍ,Caucho,5.77,1.40300133898632,12.187243706,0.14531
20287,20287,CUNDINAMARCA,CHAGUANÍ,Caucho,4.83,1.31129191493231,21.7128835468985,0.1368556
20288,20288,CUNDINAMARCA,CHAGUANÍ,Caucho,5.24,2.37497687653212,12.1564123081936,0.136327199999999
20289,20289,CUNDINAMARCA,CHAGUANÍ,Caucho,5.58,3.11236310399308,21.830377278,0.172258399999999
20290,20290,CUNDINAMARCA,CHAGUANÍ,Caucho,6.15,2.08827453538993,19.709543272,0.213473599999999
20291,20291,CUNDINAMARCA,CHAGUANÍ,Caucho,5.66,2.02647257351353,11.140083042,0.1828264
20292,20292,CUNDINAMARCA,CHAGUANÍ,Caucho,5.2,1.19410765086329,19.3582808137522,0.1194184
20293,20293,CUNDINAMARCA,PULÍ,Caucho,4.71,2.93658670788956,13.066292839909,0.3344772
20294,20294,CUNDINAMARCA,PULÍ,Caucho,5.16,4.01162495652272,12.6359567834637,0.2171724
20295,20295,CUNDINAMARCA,PULÍ,Caucho,5.41,1.77493400320538,10.6016496282555,0.2393652
20296,20296,CUNDINAMARCA,PULÍ,Caucho,5.46,2.03987233936142,13.918096348,0.2605012
